"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I [[tried]] to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to [[Star]] Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and [[painfully]] one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who [[think]] Babylon [[5]] is [[good]] sci-fi TV. It's not. It's clichéd and uninspiring.) [[While]] US viewers might like emotion and character development, sci-fi is a genre that does not take itself [[seriously]] (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to [[care]] about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's [[rubbish]] as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their [[orbit]] as this [[dull]], [[cheap]], [[poorly]] edited (watching it without advert [[breaks]] [[really]] [[brings]] this [[home]]) trudging Trabant of a [[show]] [[lumbers]] into space. Spoiler. [[So]], [[kill]] off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.","I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I [[time-tested]] to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to [[virtuoso]] Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and [[sorely]] one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who [[recall]] Babylon [[cinque]] is [[undecomposed]] sci-fi TV. It's not. It's clichéd and uninspiring.) [[while]] US viewers might like emotion and character development, sci-fi is a genre that does not take itself [[badly]] (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to [[fear]] about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's [[scrap]] as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their [[area]] as this [[damp]], [[punk]], [[ailing]] edited (watching it without advert [[prison-breaking]] [[very]] [[contribute]] this [[household]]) trudging Trabant of a [[record]] [[timber]] into space. Spoiler. [[then]], [[down]] off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.",0.0017652511596679688,0.5583170056343079,0,1,0,1759,"Successful"
"Worth the entertainment value of a rental, especially if you like action movies. This [[one]] features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. [[Not]] good. Passable 4.","Worth the entertainment value of a rental, especially if you like action movies. This [[unrivalled]] features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. [[non]] good. Passable 4.",0.10881829261779785,0.7066192626953125,0,1,0,1524,"Successful"
"its a [[totally]] [[average]] film with a few semi-alright action sequences that make the plot seem a little [[better]] and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to [[use]] up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have [[little]] relevance to the history of van dam's character. not [[really]] worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality","its a [[wholly]] [[fair]] film with a few semi-alright action sequences that make the plot seem a little [[undecomposed]] and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to [[utilisation]] up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have [[footling]] relevance to the history of van dam's character. not [[genuinely]] worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality",0.00776904821395874,0.6921517848968506,0,1,0,1010,"Successful"
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The [[culprits]] turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only [[one]] will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that first made him famous and has sadly [[produced]] his [[worst]] [[film]] since Derailed. It's nowhere near as [[bad]] as that [[film]], but what I [[said]] [[still]] stands.<br /><br />A [[dull]], predictable film, with very [[little]] in the way of any [[exciting]] action. What little there is mainly consists of some limp fight scenes, trying to look cool and trendy with some cheap slo-mo/sped up effects added to them that sadly instead make them look more desperate. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly [[uninspired]] performance and given he's never been a Robert De Niro sort of actor, that can't be [[good]]. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but [[gets]] mysteriously better towards the end. All the supporting [[cast]] are equally [[bland]], and do [[nothing]] to [[raise]] the films [[spirits]] at all.<br /><br />This is one shepherd that's strayed [[right]] from the flock. *","STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The [[perpetrator]] turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only [[I]] will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that first made him famous and has sadly [[get]] his [[tough]] [[picture]] since Derailed. It's nowhere near as [[tough]] as that [[take]], but what I [[say]] [[even]] stands.<br /><br />A [[softened]], predictable film, with very [[petty]] in the way of any [[agitate]] action. What little there is mainly consists of some limp fight scenes, trying to look cool and trendy with some cheap slo-mo/sped up effects added to them that sadly instead make them look more desperate. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly [[sterile]] performance and given he's never been a Robert De Niro sort of actor, that can't be [[thoroughly]]. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but [[amaze]] mysteriously better towards the end. All the supporting [[roam]] are equally [[smooth]], and do [[aught]] to [[nurture]] the films [[life]] at all.<br /><br />This is one shepherd that's strayed [[redress]] from the flock. *",0.0018365979194641113,0.5161252617835999,0,1,0,2950,"Successful"
"First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!","First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!",0.9987214207649231,0.9987214207649231,1,1,0,1,"Skipped"
"I had high [[hopes]] for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action [[flick]] that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is [[one]] great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The [[end]] fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the [[whole]] point of a van Damme film.<br /><br />Not [[good]], not bad, just [[average]] generic action.","I had high [[hop-skip]] for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action [[snap]] that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is [[unrivalled]] great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The [[remainder]] fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the [[solid]] point of a van Damme film.<br /><br />Not [[skilful]], not bad, just [[medium]] generic action.",0.0054059624671936035,0.5865317583084106,0,1,0,1520,"Successful"
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's [[like]] he just doesn't [[care]] about anything throughout the [[whole]] film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some [[good]] bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.","Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's [[corresponding]] he just doesn't [[fear]] about anything throughout the [[solid]] film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some [[sound]] bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.",0.004694521427154541,0.5325124263763428,0,1,0,1614,"Successful"
"It actually [[pains]] me to say it, but this movie was [[horrible]] on every [[level]]. The blame does not lie entirely with Van Damme as you can see he [[tried]] his best, but let's face it, he's almost fifty, how much more can you ask of him? [[I]] find it so [[hard]] to [[believe]] that the same people who [[put]] together Undisputed 2; arguably the [[best]] (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just [[horribly]] [[put]] together and in many [[cases]] [[outright]] [[boring]] and [[nonsensical]]. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite [[annoying]]. Again, not [[blaming]] [[Van]] Damme. I will always be a fan, but [[avoid]] this [[one]].","It actually [[strain]] me to say it, but this movie was [[frightful]] on every [[grade]]. The blame does not lie entirely with Van Damme as you can see he [[render]] his best, but let's face it, he's almost fifty, how much more can you ask of him? [[one]] find it so [[strong]] to [[trust]] that the same people who [[set]] together Undisputed 2; arguably the [[undecomposed]] (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just [[awfully]] [[order]] together and in many [[showcase]] [[straight-out]] [[drilling]] and [[absurd]]. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite [[nettle]]. Again, not [[fault]] [[caravan]] Damme. I will always be a fan, but [[deflect]] this [[unrivalled]].",0.0009037256240844727,0.6042500734329224,0,1,0,1123,"Successful"
"Technically I'am a Van Damme Fan, or I was. this movie is so [[bad]] that I hated myself for [[wasting]] those [[90]] [[minutes]]. Do not let the name Isaac Florentine (Undisputed II) fool you, I had [[big]] [[hopes]] for this [[one]], depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.","Technically I'am a Van Damme Fan, or I was. this movie is so [[tough]] that I hated myself for [[macerate]] those [[XC]] [[proceedings]]. Do not let the name Isaac Florentine (Undisputed II) fool you, I had [[grown]] [[hop]] for this [[unrivalled]], depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.",0.000667273998260498,0.7158889174461365,0,1,0,892,"Successful"
"Honestly [[awful]] film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as [[awful]] and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time [[low]]. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also [[terrible]], the [[whole]] film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's [[really]] [[bad]] and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".","Honestly [[awesome]] film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as [[amazing]] and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time [[first]]. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also [[tremendous]], the [[solid]] film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's [[genuinely]] [[tough]] and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".",0.0005872249603271484,0.9209519624710083,0,1,0,1283,"Successful"
