"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[leggy]] and often [[plaguing]] journey . ",0.00027614831924438477,0.9732604622840881,1,0,1,62,"Successful"
"unflinchingly [[bleak]] and [[desperate]] ","unflinchingly [[eerie]] and [[furious]] ",0.0030353665351867676,0.957886815071106,0,1,0,56,"Successful"
"[[allows]] [[us]] to hope that nolan is poised to embark a major career as a commercial yet [[inventive]] filmmaker . ","[[authorizes]] [[ourselves]] to hope that nolan is poised to embark a major career as a commercial yet [[imaginary]] filmmaker . ",0.0006553530693054199,0.5661430954933167,1,0,1,91,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[breathless]] [[remitted]] the production 's austere locales . ",0.0003960728645324707,0.6376837491989136,1,0,1,64,"Successful"
"it 's slow -- [[very]] , very [[slow]] . ","it 's slow -- [[perfectly]] , very [[lent]] . ",0.0010511279106140137,0.9990236759185791,0,1,0,64,"Successful"
"although laced with humor and a few fanciful touches , the film is a [[refreshingly]] serious [[look]] at young women . ","although laced with humor and a few fanciful touches , the film is a [[nonchalantly]] serious [[seems]] at young women . ",0.0031599998474121094,0.5027884244918823,1,0,1,109,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[industrious]] film . ",0.0021551847457885742,0.9989000558853149,0,1,0,42,"Successful"
"or doing [[last]] year 's [[taxes]] with your ex-wife . ","or doing [[yesteryear]] year 's [[royalty]] with your ex-wife . ",0.02758091688156128,0.95476895570755,0,1,0,69,"Successful"
"you do n't [[have]] to know about music to [[appreciate]] the film 's easygoing [[blend]] of comedy and romance . ","you do n't [[enjoy]] to know about music to [[concede]] the film 's easygoing [[amalgamated]] of comedy and romance . ",0.0003120899200439453,0.5796753168106079,1,0,1,130,"Successful"
"in exactly 89 minutes , most of which passed as [[slowly]] as if i 'd been sitting naked on an igloo , [[formula]] 51 [[sank]] from quirky to [[jerky]] to utter turkey . ","in exactly 89 minutes , most of which passed as [[delicately]] as if i 'd been sitting naked on an igloo , [[formulation]] 51 [[leaped]] from quirky to [[cured]] to utter turkey . ",0.0011037588119506836,0.8258277177810669,0,1,0,127,"Successful"
"the [[mesmerizing]] [[performances]] of the [[leads]] [[keep]] the [[film]] [[grounded]] and keep the [[audience]] [[riveted]] . ","the [[hallucinatory]] [[executions]] of the [[produces]] [[continues]] the [[cine]] [[enshrined]] and keep the [[bystander]] [[stupefied]] . ",0.00028318166732788086,0.973623514175415,1,0,1,226,"Successful"
"it takes a strange kind of [[laziness]] to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of [[nonchalance]] to [[residues]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.001614212989807129,0.9902170300483704,0,1,0,70,"Successful"
"... the film [[suffers]] from a [[lack]] of humor ( something needed to balance out the violence ) ... ","... the film [[endure]] from a [[rarity]] of humor ( something needed to balance out the violence ) ... ",0.0010157227516174316,0.6926883459091187,0,1,0,90,"Successful"
"we root for ( clara and paul ) , even like them , [[though]] perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , [[than]] perhaps it 's an emotion closer to pity . ",0.17061388492584229,0.8453391790390015,1,0,1,22,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[shortfall]] both thrills and humor . ",0.0011259913444519043,0.9994555711746216,0,1,0,50,"Successful"
"a [[gorgeous]] , high-spirited [[musical]] from india that [[exquisitely]] blends music , [[dance]] , [[song]] , and [[high]] [[drama]] . ","a [[beaux]] , high-spirited [[singers]] from india that [[shockingly]] blends music , [[stripper]] , [[hymns]] , and [[most]] [[catastrophic]] . ",0.00025838613510131836,0.6662508249282837,1,0,1,256,"Successful"
"the [[emotions]] are raw and will [[strike]] a [[nerve]] with anyone who 's ever [[had]] [[family]] trauma . ","the [[sentiments]] are raw and will [[befallen]] a [[effrontery]] with anyone who 's ever [[brought]] [[relatives]] trauma . ",0.0019524097442626953,0.5301071405410767,1,0,1,98,"Successful"
"audrey tatou has a knack for picking roles that [[magnify]] her outrageous [[charm]] , and in this literate french [[comedy]] , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that [[prolong]] her outrageous [[amulets]] , and in this literate french [[derision]] , she 's as morning-glory exuberant as she was in amélie . ",0.0003352165222167969,0.7381476163864136,1,0,1,145,"Successful"
"... the [[movie]] is just a [[plain]] [[old]] [[monster]] . ","... the [[photographer]] is just a [[plains]] [[yesteryear]] [[beast]] . ",0.002254962921142578,0.5866827964782715,0,1,0,126,"Successful"
"in its best moments , resembles a [[bad]] high school [[production]] of grease , without benefit of song . ","in its best moments , resembles a [[naughty]] high school [[yields]] of grease , without benefit of song . ",0.002055227756500244,0.6681867241859436,0,1,0,92,"Successful"
