"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[cutie]] and often [[afflicts]] journey . ",0.00023382902145385742,0.9952347874641418,1,0,1,62,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[eerie]] and desperate ",0.014329493045806885,0.9570063352584839,0,1,0,32,"Successful"
"allows [[us]] to hope that nolan is poised to [[embark]] a [[major]] career as a commercial yet [[inventive]] [[filmmaker]] . ","allows [[ourselves]] to hope that nolan is poised to [[embarked]] a [[severe]] career as a commercial yet [[novelty]] [[superintendent]] . ",0.0004261136054992676,0.5343784689903259,1,0,1,160,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[breathless]] given the production 's austere locales . ",0.003972053527832031,0.9271472692489624,1,0,1,19,"Successful"
"it 's slow -- [[very]] , [[very]] [[slow]] . ","it 's slow -- [[pretty]] , [[perfectly]] [[lent]] . ",0.0020480751991271973,0.9753011465072632,0,1,0,114,"Successful"
"although laced with [[humor]] and a few [[fanciful]] touches , the film is a [[refreshingly]] serious [[look]] at [[young]] women . ","although laced with [[droll]] and a few [[unreal]] touches , the film is a [[nonchalantly]] serious [[seem]] at [[childish]] women . ",0.00036346912384033203,0.7098495960235596,1,0,1,204,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[tricky]] film . ",0.003931403160095215,0.8746917247772217,0,1,0,42,"Successful"
"or doing [[last]] year 's [[taxes]] with your ex-wife . ","or doing [[ultimate]] year 's [[honorarium]] with your ex-wife . ",0.005927860736846924,0.9871810078620911,0,1,0,69,"Successful"
"you do n't [[have]] to know about music to [[appreciate]] the film 's easygoing [[blend]] of comedy and romance . ","you do n't [[got]] to know about music to [[greet]] the film 's easygoing [[agitate]] of comedy and romance . ",0.0003604888916015625,0.768783688545227,1,0,1,131,"Successful"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , [[formula]] 51 [[sank]] from quirky to jerky to [[utter]] [[turkey]] . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , [[recipes]] 51 [[flowed]] from quirky to jerky to [[fullest]] [[anatolia]] . ",0.002961397171020508,0.5321928262710571,0,1,0,123,"Successful"
"the mesmerizing [[performances]] of the leads [[keep]] the film [[grounded]] and [[keep]] the audience riveted . ","the mesmerizing [[reproductions]] of the leads [[maintenance]] the film [[warranted]] and [[maintenance]] the audience riveted . ",0.00034546852111816406,0.892164409160614,1,0,1,146,"Successful"
"it takes a strange kind of [[laziness]] to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of [[indolence]] to [[scrapings]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.0010519623756408691,0.9960480332374573,0,1,0,68,"Successful"
"... the [[film]] [[suffers]] from a [[lack]] of [[humor]] ( something needed to balance out the violence ) ... ","... the [[stills]] [[heartbreak]] from a [[drawback]] of [[hilarity]] ( something needed to balance out the violence ) ... ",0.0006940364837646484,0.7296077013015747,0,1,0,133,"Successful"
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.6413277983665466,0.6413277983665466,0,0,1,1,"Skipped"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[scarcity]] both thrills and humor . ",0.0008692145347595215,0.9104210138320923,0,1,0,50,"Successful"
"a [[gorgeous]] , high-spirited [[musical]] from [[india]] that [[exquisitely]] [[blends]] [[music]] , [[dance]] , [[song]] , and [[high]] [[drama]] . ","a [[magnifique]] , high-spirited [[composers]] from [[indians]] that [[shockingly]] [[jumpsuit]] [[concerts]] , [[danse]] , [[paroles]] , and [[strictest]] [[catastrophic]] . ",0.0002505183219909668,0.5983997583389282,1,0,1,322,"Successful"
"the emotions are [[raw]] and will strike a nerve with anyone who 's ever had family trauma . ","the emotions are [[uncooked]] and will strike a nerve with anyone who 's ever had family trauma . ",0.0006905794143676758,0.9441751837730408,1,0,1,21,"Successful"
"audrey tatou has a knack for picking roles that [[magnify]] her outrageous charm , and in this literate french [[comedy]] , she 's as morning-glory [[exuberant]] as she was in amélie . ","audrey tatou has a knack for picking roles that [[prolonging]] her outrageous charm , and in this literate french [[travesty]] , she 's as morning-glory [[scintillating]] as she was in amélie . ",0.0003737211227416992,0.7493427991867065,1,0,1,137,"Successful"
"... the [[movie]] is just a [[plain]] [[old]] [[monster]] . ","... the [[panorama]] is just a [[meadows]] [[elapsed]] [[creatures]] . ",0.0008032917976379395,0.02104973793029785,0,0,0,126,"Failed"
"in its best moments , [[resembles]] a [[bad]] [[high]] school [[production]] of grease , without benefit of song . ","in its best moments , [[reminiscent]] a [[wicked]] [[lofty]] school [[fertile]] of grease , without benefit of song . ",0.0010158419609069824,0.745081901550293,0,1,0,159,"Successful"
