"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[tempt]] and often [[sham]] journey . ",0.00023382902145385742,0.9958263039588928,1,0,1,82,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[raw]] and desperate ",0.014329493045806885,0.9876958727836609,0,1,0,24,"Successful"
"allows us to hope that nolan is [[poised]] to embark a major career as a commercial [[yet]] inventive filmmaker . ","allows us to hope that nolan is [[self-possessed]] to embark a major career as a commercial [[however]] inventive filmmaker . ",0.0004261136054992676,0.7614297866821289,1,0,1,78,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[dumbfounding]] given the production 's austere locales . ",0.003972053527832031,0.9989545345306396,1,0,1,116,"Successful"
"it 's [[slow]] -- very , very [[slow]] . ","it 's [[easy]] -- very , very [[easy]] . ",0.0020480751991271973,0.9979871511459351,0,1,0,87,"Successful"
"although [[laced]] with [[humor]] and a few fanciful [[touches]] , the [[film]] is a refreshingly [[serious]] [[look]] at [[young]] women . ","although [[spike]] with [[wittiness]] and a few fanciful [[meet]] , the [[cinema]] is a refreshingly [[unplayful]] [[wait]] at [[immature]] women . ",0.00036346912384033203,0.6421968936920166,1,0,1,223,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[windy]] film . ",0.003931403160095215,0.9195542931556702,0,1,0,36,"Successful"
"or doing [[last]] [[year]] 's [[taxes]] with your ex-wife . ","or doing [[survive]] [[yr]] 's [[task]] with your ex-wife . ",0.005927860736846924,0.677061915397644,0,1,0,62,"Successful"
"you do n't have to know about music to [[appreciate]] the film 's [[easygoing]] [[blend]] of [[comedy]] and romance . ","you do n't have to know about music to [[revalue]] the film 's [[cushy]] [[conflate]] of [[drollery]] and romance . ",0.0003604888916015625,0.9349449872970581,1,0,1,107,"Successful"
"in exactly 89 [[minutes]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , [[formula]] 51 [[sank]] from quirky to [[jerky]] to [[utter]] turkey . ","in exactly 89 [[instant]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , [[convention]] 51 [[subside]] from quirky to [[arrhythmic]] to [[everlasting]] turkey . ",0.002961397171020508,0.6042492389678955,0,1,0,213,"Successful"
"the mesmerizing performances of the leads [[keep]] the film grounded and [[keep]] the audience riveted . ","the mesmerizing performances of the leads [[prevent]] the film grounded and [[prevent]] the audience riveted . ",0.00034546852111816406,0.7031017541885376,1,0,1,154,"Successful"
"it [[takes]] a strange kind of laziness to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it [[remove]] a strange kind of laziness to [[ravage]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.0010519623756408691,0.9975156188011169,0,1,0,206,"Successful"
"... the film [[suffers]] from a [[lack]] of [[humor]] ( something needed to balance out the violence ) ... ","... the film [[support]] from a [[want]] of [[wit]] ( something needed to balance out the violence ) ... ",0.0006940364837646484,0.7248731851577759,0,1,0,111,"Successful"
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.6413277983665466,0.6413277983665466,0,0,1,1,"Skipped"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both [[thrills]] and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[want]] both [[vibrate]] and humor . ",0.0008692145347595215,0.7646111845970154,0,1,0,149,"Successful"
"a gorgeous , [[high-spirited]] [[musical]] from [[india]] that [[exquisitely]] [[blends]] [[music]] , [[dance]] , [[song]] , and [[high]] [[drama]] . ","a gorgeous , [[ebullient]] [[melodious]] from [[Bharat]] that [[fine]] [[meld]] [[euphony]] , [[terpsichore]] , [[birdcall]] , and [[high-pitched]] [[play]] . ",0.0002505183219909668,0.0007115602493286133,1,1,1,108,"Failed"
"the emotions are [[raw]] and will strike a nerve with anyone who 's ever had family trauma . ","the emotions are [[rude]] and will strike a nerve with anyone who 's ever had family trauma . ",0.0006905794143676758,0.9925199151039124,1,0,1,92,"Successful"
"audrey tatou has a knack for picking roles that [[magnify]] her outrageous charm , and in this literate french comedy , she 's as morning-glory [[exuberant]] as she was in amélie . ","audrey tatou has a knack for picking roles that [[exaggerate]] her outrageous charm , and in this literate french comedy , she 's as morning-glory [[excessive]] as she was in amélie . ",0.0003737211227416992,0.8263394236564636,1,0,1,99,"Successful"
"... the movie is just a plain [[old]] monster . ","... the movie is just a plain [[sure-enough]] monster . ",0.0008032917976379395,0.8146129250526428,0,1,0,72,"Successful"
"in its best moments , resembles a [[bad]] high school production of grease , without benefit of [[song]] . ","in its best moments , resembles a [[forged]] high school production of grease , without benefit of [[strain]] . ",0.0010158419609069824,0.9694540500640869,0,1,0,140,"Successful"
