"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[I]] [[love]] sci-fi and am [[willing]] to put up with a [[lot]]. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I [[tried]] to like this, [[I]] really did, but it is to [[good]] TV sci-fi as Babylon 5 is to Star Trek (the [[original]]). [[Silly]] prosthetics, cheap cardboard sets, [[stilted]] dialogues, CG that doesn't [[match]] the background, and painfully [[one-dimensional]] characters cannot be [[overcome]] with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) [[While]] US viewers might like emotion and character development, sci-fi is a genre that does not [[take]] itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the [[characters]] here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often [[painful]] to [[watch]]. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be [[turning]] in their [[orbit]] as this [[dull]], [[cheap]], [[poorly]] [[edited]] (watching it without [[advert]] [[breaks]] really brings this home) [[trudging]] Trabant of a [[show]] [[lumbers]] into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.","[[unity]] [[passion]] sci-fi and am [[leave]] to put up with a [[mountain]]. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I [[stress]] to like this, [[unity]] really did, but it is to [[dear]] TV sci-fi as Babylon 5 is to Star Trek (the [[master]]). [[goofy]] prosthetics, cheap cardboard sets, [[hokey]] dialogues, CG that doesn't [[pit]] the background, and painfully [[linear]] characters cannot be [[overwhelm]] with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) [[patch]] US viewers might like emotion and character development, sci-fi is a genre that does not [[admit]] itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the [[character]] here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often [[irritating]] to [[picket]]. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be [[flex]] in their [[range]] as this [[blunt]], [[chintzy]], [[sickly]] [[blue-pencil]] (watching it without [[touch]] [[soften]] really brings this home) [[trudge]] Trabant of a [[establish]] [[pound]] into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.",0.0001729130744934082,0.5367193818092346,0,1,0,1924,"Successful"
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is [[nothing]] that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but [[hardly]] profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.","Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is [[zip]] that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but [[just]] profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.",0.003664731979370117,0.8941991329193115,0,1,0,1523,"Successful"
"its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really [[worth]] [[watching]] again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality","its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really [[deserving]] [[ascertain]] again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality",0.0037667155265808105,0.5360199213027954,0,1,0,911,"Successful"
"[[STAR]] [[RATING]]: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />[[Former]] [[New]] Orleans homicide cop [[Jack]] Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to [[stop]] a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But [[Jack]] has a more personal [[reason]] for taking him down, that [[draws]] the two [[men]] into an explosive final showdown where only [[one]] will walk away [[alive]].<br /><br />After Until Death, Van Damme [[appeared]] to be on a high, [[showing]] he could [[make]] the best [[straight]] to [[video]] films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that [[first]] made him [[famous]] and has sadly produced his worst film since Derailed. It's nowhere [[near]] as [[bad]] as that film, but what I [[said]] [[still]] [[stands]].<br /><br />A [[dull]], predictable film, with very little in the [[way]] of any exciting action. What little there is mainly [[consists]] of some limp fight scenes, [[trying]] to look cool and trendy with some cheap slo-mo/sped up [[effects]] [[added]] to them that sadly instead make them [[look]] more [[desperate]]. [[Being]] a Mexican [[set]] film, director Isaac Florentine has tried to [[give]] the film a Robert Rodriguez/Desperado sort of feel, but this only [[adds]] to the [[desperation]].<br /><br />[[VD]] gives a particularly [[uninspired]] [[performance]] and given he's never been a Robert De Niro sort of actor, that can't be [[good]]. [[As]] the villain, [[Lord]] shouldn't expect to leave the beeb anytime soon. He [[gets]] [[little]] dialogue at the [[beginning]] as he struggles to [[muster]] an American [[accent]] but [[gets]] mysteriously [[better]] towards the [[end]]. All the supporting cast are equally [[bland]], and do nothing to raise the films spirits at all.<br /><br />This is [[one]] shepherd that's [[strayed]] [[right]] from the [[flock]]. *","[[champion]] [[rank]]: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />[[other]] [[Modern]] Orleans homicide cop [[tar]] Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to [[period]] a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But [[Jack-tar]] has a more personal [[understanding]] for taking him down, that [[disembowel]] the two [[piece]] into an explosive final showdown where only [[I]] will walk away [[awake]].<br /><br />After Until Death, Van Damme [[seem]] to be on a high, [[render]] he could [[form]] the best [[consecutive]] to [[television]] films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that [[showtime]] made him [[notable]] and has sadly produced his worst film since Derailed. It's nowhere [[almost]] as [[sorry]] as that film, but what I [[order]] [[quiet]] [[digest]].<br /><br />A [[dim]], predictable film, with very little in the [[direction]] of any exciting action. What little there is mainly [[lie]] of some limp fight scenes, [[stress]] to look cool and trendy with some cheap slo-mo/sped up [[result]] [[lend]] to them that sadly instead make them [[feeling]] more [[despairing]]. [[existence]] a Mexican [[lot]] film, director Isaac Florentine has tried to [[make]] the film a Robert Rodriguez/Desperado sort of feel, but this only [[tally]] to the [[despair]].<br /><br />[[STD]] gives a particularly [[sterile]] [[operation]] and given he's never been a Robert De Niro sort of actor, that can't be [[proficient]]. [[equally]] the villain, [[noble]] shouldn't expect to leave the beeb anytime soon. He [[suffer]] [[slight]] dialogue at the [[showtime]] as he struggles to [[conscription]] an American [[dialect]] but [[make]] mysteriously [[best]] towards the [[cease]]. All the supporting cast are equally [[smooth]], and do nothing to raise the films spirits at all.<br /><br />This is [[unity]] shepherd that's [[drift]] [[powerful]] from the [[mess]]. *",0.0001596212387084961,0.9096081256866455,0,1,0,3691,"Successful"
"First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!","First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!",0.9997177124023438,0.9997177124023438,1,1,0,1,"Skipped"
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers [[action]] flick that tips its hat at many classic Van Damme films. [[There]] is a nice bit of action in a [[bar]] which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes [[let]] down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.","I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers [[execute]] flick that tips its hat at many classic Van Damme films. [[thither]] is a nice bit of action in a [[streak]] which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes [[Lashkar-e-Tayyiba]] down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.",0.00020807981491088867,0.7723615765571594,0,1,0,1451,"Successful"
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the [[leading]] [[man]].<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.","Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the [[stellar]] [[piece]].<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.",0.0006510615348815918,0.8536958694458008,0,1,0,1553,"Successful"
"It actually [[pains]] me to [[say]] it, but this [[movie]] was horrible on every [[level]]. The [[blame]] does not lie [[entirely]] with Van Damme as you can [[see]] he [[tried]] his [[best]], but let's [[face]] it, he's [[almost]] [[fifty]], how [[much]] more can you [[ask]] of him? [[I]] [[find]] it so [[hard]] to [[believe]] that the same [[people]] who [[put]] together Undisputed [[2]]; arguably the [[best]] (western) martial [[arts]] [[movie]] in [[years]], [[created]] this. Everything from the [[plot]], to the [[dialog]], to the editing, to the overall acting was just [[horribly]] [[put]] [[together]] and in many [[cases]] [[outright]] [[boring]] and [[nonsensical]]. Scott Adkins who's fight [[scenes]] [[seemed]] more [[like]] a [[demo]] [[reel]], was also [[terribly]] underused and not [[even]] the [[main]] villain which is such a [[shame]] because [[1]]) [[He]] is more than [[capable]] of [[playing]] that [[role]] and 2) The actual main villain was not only not [[intimidating]] at all but [[also]] quite [[annoying]]. Again, not blaming Van Damme. I will [[always]] be a [[fan]], but [[avoid]] this [[one]].","It actually [[hurt]] me to [[read]] it, but this [[picture]] was horrible on every [[tied]]. The [[damned]] does not lie [[all]] with Van Damme as you can [[construe]] he [[stress]] his [[trump]], but let's [[aspect]] it, he's [[nigh]] [[50]], how [[often]] more can you [[need]] of him? [[unity]] [[bump]] it so [[strong]] to [[trust]] that the same [[multitude]] who [[cast]] together Undisputed [[two]]; arguably the [[honest]] (western) martial [[prowess]] [[film]] in [[class]], [[make]] this. Everything from the [[diagram]], to the [[duologue]], to the editing, to the overall acting was just [[awfully]] [[position]] [[unitedly]] and in many [[character]] [[unlimited]] [[tedious]] and [[derisory]]. Scott Adkins who's fight [[picture]] [[look]] more [[similar]] a [[show]] [[stagger]], was also [[awful]] underused and not [[still]] the [[chief]] villain which is such a [[disgrace]] because [[I]]) [[he]] is more than [[able]] of [[fiddle]] that [[part]] and 2) The actual main villain was not only not [[restrain]] at all but [[besides]] quite [[teasing]]. Again, not blaming Van Damme. I will [[forever]] be a [[devotee]], but [[forfend]] this [[unity]].",0.00018459558486938477,0.5351860523223877,0,1,0,1476,"Successful"
"Technically I'am a Van Damme Fan, or I was. this movie is so [[bad]] that I [[hated]] myself for wasting those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big [[hopes]] for this one, depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.","Technically I'am a Van Damme Fan, or I was. this movie is so [[tough]] that I [[detest]] myself for wasting those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big [[trust]] for this one, depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.",0.0002487301826477051,0.6518251895904541,0,1,0,817,"Successful"
"Honestly [[awful]] film, bad editing, [[awful]] lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as [[awful]] and while you hardly expect much from a Jean-Claude Van Damme film this [[one]] manages to hit an all time [[low]]. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also [[terrible]], the whole film [[follows]] an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly [[words]] [[fail]] me in condemning this ""film"".","Honestly [[awesome]] film, bad editing, [[awe-inspiring]] lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as [[tremendous]] and while you hardly expect much from a Jean-Claude Van Damme film this [[unity]] manages to hit an all time [[grim]]. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also [[tremendous]], the whole film [[succeed]] an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly [[quarrel]] [[break]] me in condemning this ""film"".",0.0002028346061706543,0.5976352095603943,0,1,0,1339,"Successful"
