"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[sorcerous]] and often [[sham]] journey . ",0.00027614831924438477,0.9983865022659302,1,0,1,82,"Successful"
"unflinchingly bleak and [[desperate]] ","unflinchingly bleak and [[heroic]] ",0.0030353665351867676,0.9920067191123962,0,1,0,20,"Successful"
"[[allows]] us to hope that nolan is [[poised]] to embark a major career as a commercial yet inventive filmmaker . ","[[tolerate]] us to hope that nolan is [[self-collected]] to embark a major career as a commercial yet inventive filmmaker . ",0.0006553530693054199,0.8072689771652222,1,0,1,81,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[dumbfounding]] given the production 's austere locales . ",0.0003960728645324707,0.9989235997200012,1,0,1,116,"Successful"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[easy]] . ",0.0010511279106140137,0.9466984868049622,0,1,0,66,"Successful"
"although laced with humor and a few fanciful touches , the [[film]] is a refreshingly [[serious]] [[look]] at [[young]] women . ","although laced with humor and a few fanciful touches , the [[flick]] is a refreshingly [[grave]] [[wait]] at [[untested]] women . ",0.0031599998474121094,0.6559271812438965,1,0,1,172,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[windy]] film . ",0.0021551847457885742,0.8829635381698608,0,1,0,36,"Successful"
"or doing [[last]] year 's [[taxes]] with your ex-wife . ","or doing [[concluding]] year 's [[assess]] with your ex-wife . ",0.02758091688156128,0.810046911239624,0,1,0,59,"Successful"
"you do n't have to [[know]] about music to [[appreciate]] the [[film]] 's [[easygoing]] [[blend]] of [[comedy]] and [[romance]] . ","you do n't have to [[cognise]] about music to [[revalue]] the [[celluloid]] 's [[easy]] [[go]] of [[drollery]] and [[dally]] . ",0.0003120899200439453,0.9412195086479187,1,0,1,144,"Successful"
"in exactly 89 [[minutes]] , most of which passed as [[slowly]] as if i 'd been sitting naked on an igloo , [[formula]] [[51]] [[sank]] from quirky to [[jerky]] to [[utter]] [[turkey]] . ","in exactly 89 [[moment]] , most of which passed as [[easy]] as if i 'd been sitting naked on an igloo , [[recipe]] [[fifty-one]] [[subside]] from quirky to [[goosey]] to [[perfect]] [[Turkey]] . ",0.0011037588119506836,0.6907062530517578,0,1,0,223,"Successful"
"the mesmerizing performances of the leads [[keep]] the film grounded and keep the audience riveted . ","the mesmerizing performances of the leads [[prevent]] the film grounded and keep the audience riveted . ",0.00028318166732788086,0.9257987141609192,1,0,1,136,"Successful"
"it takes a strange [[kind]] of [[laziness]] to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange [[tolerant]] of [[acedia]] to [[barren]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.001614212989807129,0.9807018637657166,0,1,0,153,"Successful"
"... the [[film]] [[suffers]] from a [[lack]] of humor ( something [[needed]] to balance out the [[violence]] ) ... ","... the [[pic]] [[endure]] from a [[want]] of humor ( something [[postulate]] to balance out the [[wildness]] ) ... ",0.0010157227516174316,0.8594648838043213,0,1,0,138,"Successful"
"we [[root]] for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we [[settle]] for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.17061388492584229,0.9645065069198608,1,0,1,97,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[want]] both thrills and humor . ",0.0011259913444519043,0.9898964166641235,0,1,0,129,"Successful"
"a gorgeous , [[high-spirited]] [[musical]] from [[india]] that [[exquisitely]] [[blends]] [[music]] , [[dance]] , [[song]] , and [[high]] [[drama]] . ","a gorgeous , [[ebullient]] [[melodious]] from [[Bharat]] that [[delicately]] [[commingle]] [[medicine]] , [[saltation]] , [[birdcall]] , and [[highschool]] [[play]] . ",0.00025838613510131836,0.0005246996879577637,1,1,1,108,"Failed"
"the emotions are [[raw]] and will strike a nerve with anyone who 's ever had family trauma . ","the emotions are [[crude]] and will strike a nerve with anyone who 's ever had family trauma . ",0.0019524097442626953,0.9073065519332886,1,0,1,92,"Successful"
"audrey tatou has a knack for picking roles that [[magnify]] her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that [[overdraw]] her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",0.0003352165222167969,0.8404414653778076,1,0,1,90,"Successful"
"... the movie is just a plain [[old]] monster . ","... the movie is just a plain [[sure-enough]] monster . ",0.002254962921142578,0.9967648983001709,0,1,0,72,"Successful"
"in its best moments , resembles a [[bad]] high school production of grease , without benefit of [[song]] . ","in its best moments , resembles a [[forged]] high school production of grease , without benefit of [[strain]] . ",0.002055227756500244,0.9973143339157104,0,1,0,140,"Successful"
